channel_record_key,partnername,parentpartnername,corp_id,categorydesc,districtdesc,partner_group,partner_in_conv_rate,change_date_start,change_date_end,current_record_flag,deleted_record_flag
239,Alex's Car Stereo,Alex's Car Stereo,9061,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
240,Clef de Sol,Clef de Sol,11605,Retail Channel,Can 50 Retail,Retail Channel,Y,1/1/00,12/31/99,Y,N
241,Stereosound,Stereosound,6995,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
242,Mission Auto Connection Inc,Mission Auto Connection Inc,2848,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
243,AM Merchandising  Inc  (12974),AM Merchandising  Inc,12974,Retail Channel,District 7,Retail Channel,Y,6/15/18,12/31/99,Y,N
244,NBA (Basketball),NBA (Basketball),178,DTC Channel,District 1001,DTC Channel,Y,1/1/00,12/31/99,Y,N
245,AGJ Enterprises,AGJ Enterprises,10116,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
246,Stereotomy Inc,Stereotomy Inc,953,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
247,Roto Experts - XM,Roto Experts - XM,12358,DTC Channel,District 1001,DTC Channel,Y,1/1/00,12/31/99,Y,N
248,MSCM, INC,MSCM, INC,8556,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99
249,PM Sound, Video & Data Service,PM Sound, Video & Data Service,10320,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99
250,Caplink Technology, inc,Caplink Technology, inc,11216,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99
251,Big G Tire,Big G Tire,8525,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
252,Ford Canada - TravelLink,Ford Canada - TravelLink,12276,Auto OEM Channel,Can 50 Dealer,Other OEM,Y,1/1/00,12/31/99,Y,N
253,Hi Fi Sounds, Inc,Hi Fi Sounds, Inc,4473,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99
254,Mack Truck (12909),Mack Truck,12909,Special Markets Channel,Special Mkts  30,Special Markets Channel,Y,8/14/17,12/31/99,Y,N
255,Sawtooth Auto Sales Inc,Sawtooth Auto Sales Inc,4908,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
256,Unicahome,Unicahome,11729,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
257,Travel Centers of America,Travel Centers of America,12471,Retail Channel,District 7,Retail Channel,Y,1/1/00,12/31/99,Y,N
258,McCain Mobile Audio,McCain Mobile Audio,8588,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
259,Ssg Audio,Ssg Audio,5959,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
260,Hearst Communications -XM,Hearst Communications -XM,219,DTC Channel,District 1001,DTC Channel,Y,1/1/00,12/31/99,Y,N
261,Rodeo Auto Acc,Rodeo Auto Acc,975,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
262,Auto Ameristar Of Lincoln,Auto Ameristar Of Lincoln,1355,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
263,Schindlers Cable TV,Schindlers Cable TV,10789,Retail Channel,District N/A,Retail Channel,Y,1/1/00,12/31/99,Y,N
264,Mazda Canada - Audio + TrafficPlus+ TravelLinkC (13006),Mazda Canada - Audio + TrafficPlus+ TravelLinkC,13006,Auto OEM Channel,Can 50 Dealer,Other OEM,Y,12/14/18,12/31/99,Y,N
265,Sudu Inc,Sudu Inc,9208,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
266,ProTheaterOne,ProTheaterOne,8636,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
267,Transel Corporation,Transel Corporation,8863,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
268,car worx,car worx,11054,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
269,Tint Wizard,Tint Wizard,8281,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
270,4 Ritcher and Moore,4 Ritcher and Moore,9242,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
271,Electronic Plus Outlet,Electronic Plus Outlet,7074,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
272,Mhl Protection Systems,Mhl Protection Systems,879,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
273,Mario's Custom Sound,Mario's Custom Sound,8939,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
274,Agrium Inc  (12789),Agrium Inc,12789,Retail Channel,District N/A,Retail Channel,Y,10/11/16,12/31/99,Y,N
275,CAR SPA INC EXPEDITOR,CAR SPA INC EXPEDITOR,2615,Auto OEM Channel,District 22,Other OEM,Y,1/1/00,12/31/99,Y,N
276,Test,Test,10074,Retail Channel,District 13,Retail Channel,Y,1/1/00,12/31/99,Y,N
