REASONCODETYPE,REASONCODE,REASONNAME,REACTIVATION_INTERVAL,TEMP_DEACTIVATION_IND,TEMP_DEACTIVATION_INTERVAL,REASONNAMEROLLUP,REASON_CODE_GROUP
Voluntary,1,poor coverage,90,N,0,Equip/ Audio/ Recpt Dissatisfaction,Other Voluntary
Involuntary,2,dealer demo conversion,90,N,0,Misc,Non Pay
Voluntary,3,Expired - Internal SC,90,Y,30,Pre-Paid Period Expired,Other Voluntary
Voluntary,4,Plan Upgrade,90,N,0,Admin,Other Voluntary
Voluntary,5,Promo Offer Expired,90,N,0,Misc,Other Voluntary
Voluntary,6,Howard Reception,90,N,0,Equip/ Audio/ Recpt Dissatisfaction,Other Voluntary
Involuntary,7,sms activation problem,90,N,0,Customer Service,Non Pay
Voluntary,8,Receiver Swap,90,N,0,Misc,Other Voluntary
Voluntary,9,Cancel FOR service unwind,90,N,0,Cancel FOR service unwind,Other Voluntary
Voluntary,10,Don't Listen Enough,90,N,0,Not Listening,Other Voluntary
Voluntary,11,no reception,90,N,0,Equip/ Audio/ Recpt Dissatisfaction,Other Voluntary
Voluntary,12,TERMS DECLINED IN NCWP,90,N,0,TERMS DECLINED IN NCWP,Other Voluntary
Voluntary,13,xm/sirius merger,90,N,0,Misc,Other Voluntary
Voluntary,14,hardware,90,N,0,Equip/ Audio/ Recpt Dissatisfaction,Other Voluntary
Involuntary,15,test radios,90,N,0,Misc,Non Pay
Voluntary,16,myp related package change,90,N,0,Billing,Other Voluntary
Voluntary,17,2nd Vehicle Shutoff,90,N,0,Vehicle Related,Other Voluntary
Voluntary,18,fdd-season of use ended,90,N,0,Seasonal,Other Voluntary
Voluntary,19,distorted reception,90,N,0,Equip/ Audio/ Recpt Dissatisfaction,Other Voluntary
Voluntary,20,Dissatisfied -Non Music Prgrm,90,N,0,Programming/ Non-Music ,Other Voluntary
Transfer,21,vehicle sold/traded,90,N,0,Vehicle Sold/Traded,Other Voluntary
Involuntary,22,consolidate multiple accounts,90,N,0,Admin,Non Pay
Voluntary,23,loan/lease termination,90,N,0,Vehicle Related,Other Voluntary
Voluntary,24,Duplicate account,90,N,0,Admin,Other Voluntary
Voluntary,25,Gift,90,N,0,Gift,Other Voluntary
Involuntary,26,employee termination,90,N,0,Misc,Non Pay
Voluntary,27,OEM CPO Deactivation,90,N,0,OEM CPO Deactivation,UCAD
Voluntary,28,Do Not Renew,90,N,0,Do Not Renew,Other Voluntary
Transfer,29,fdd-transfer ownership,90,N,0,Vehicle Related,Other Voluntary
Voluntary,30,fdd-poor signal coverage,90,N,0,Equip/ Audio/ Recpt Dissatisfaction,Other Voluntary
Voluntary,31,reception problems,90,N,0,Equip/ Audio/ Recpt Dissatisfaction,Other Voluntary
Voluntary,32,programming quality,90,N,0,Programming/ General,Other Voluntary
Voluntary,33,none,90,N,0,Misc,Other Voluntary
Involuntary,34,uas procedure,90,N,0,Misc,Non Pay
Voluntary,35,fdd-inadequate sports content,90,N,0,Programming/ Non-Music,Other Voluntary
Transfer,36,fdd-replaced by oem trial vehicle,90,N,0,Replaced by OEM Trial Same Svc,Other Voluntary
voluntary,37,Deactivation as part of Ford d,90,N,0,OEM CPO Deactivation,Vehicle Related
Voluntary,38,Vehicle Sold/Traded,90,N,0,Vehicle Sold/Traded,Vehicle Related
Voluntary,39,removal of premium,90,N,0,Misc,Other Voluntary
Voluntary,40,billing,90,N,0,Billing,Other Voluntary
Voluntary,41,Rental Defleet,90,N,0,Rental Delfeet,Unknown
Voluntary,42,Returned Leased Car,90,N,0,Vehicle Related,Other Voluntary
Voluntary,43,Vehicle Transfer,90,N,0,Vehicle Related,Other Voluntary
Involuntary,44,dealer web request,90,N,0,Misc,Non Pay
Voluntary,45,Dissatisfied FM Reception,90,N,0,Equip/ Audio/ Recpt Dissatisfaction,Other Voluntary
Voluntary,46,MFR Req. Replace ,90,N,0,Admin,Other Voluntary
Voluntary,47,Commute Change,90,N,0,Not Listening,Other Voluntary
Voluntary,48,military service,90,N,0,Military Service,Other Voluntary
Voluntary,49,inadequate talk/var content,90,N,0,Programming/ Non-Music,Other Voluntary
Voluntary,50,listener care problems,90,N,0,Customer Service,Other Voluntary
Voluntary,51,price too high,90,N,0,Value-Cost,Other Voluntary
Voluntary,52,fdd-expired package,90,N,0,Pre-Paid Period Expired,Other Voluntary
voluntary,53,Deactivation as part of Hertz ,90,N,0,OEM CPO Deactivation,Vehicle Related
Voluntary,54,retailer/dealer,90,N,0,Misc,Other Voluntary
Voluntary,55,Channel Change,90,N,0,Programming/ General,Other Voluntary
Voluntary,56,3rd party service provider,90,N,0,Customer Service,Other Voluntary
Involuntary,57,fdd-oem sales cancelled,90,N,0,Admin,Non Pay
Voluntary,58,Military Service,90,N,0,Military Service,Other Voluntary
Voluntary,59,Dissatisfied w/Equip,90,N,0,Equip/ Audio/ Recpt Dissatisfaction,Other Voluntary
Voluntary,60,Gift Not Wanted,90,N,0,Gift,Other Voluntary
Voluntary,61,Vehicle & Radio Sold,90,N,0,Vehicle Related,Other Voluntary
Voluntary,62,Plan Downgrade,90,N,0,Admin,Other Voluntary
Voluntary,63,death certificate,90,N,0,Deceased/Illness,Other Voluntary
Involuntary,64,employee terminated,90,N,0,Misc,Non Pay
Voluntary,65,multi year svc package end,90,N,0,Misc,Other Voluntary
Voluntary,66,compatibility,90,N,0,Equip/ Audio/ Recpt Dissatisfaction,Other Voluntary
Voluntary,67,Retail Demo/Unit Sold,90,N,0,Misc,Other Voluntary
Voluntary,68,Programming/ General,90,N,0,Programming/ General,Other Voluntary
Voluntary,69,cannot justify cost,90,N,0,Value-Cost,Other Voluntary
Voluntary,70,Programming/ Non-Music,90,N,0,Programming/ Non-Music,Other Voluntary
Voluntary,71,fdd-competition,90,N,0,Competition,Other Voluntary
Voluntary,72,radio lost,90,N,0,Radio Lost/Damaged,Other Voluntary
Voluntary,73,Receiver Related,90,N,0,Equip/ Audio/ Recpt Dissatisfaction,Other Voluntary
Involuntary,74,test,90,N,0,Misc,Non Pay
Voluntary,75,Vehicle Stolen,90,N,0,Vehicle Related,Other Voluntary
Voluntary,76,fdd-non-myp billing errors,90,N,0,Billing,Other Voluntary
Voluntary,77,Replaced by OEM Trial Same Svc,90,N,0,Replaced by OEM Trial Same Svc,Vehicle Related
Voluntary,78,fdd-inadequate talk/var conten,90,N,0,Programming/ Non-Music,Other Voluntary
Voluntary,79,subscriber deceased,90,N,0,Deceased/Illness,Other Voluntary
Voluntary,80,non-myp billing errors,90,N,0,Billing,Other Voluntary
Voluntary,81,B2C Defleet,90,N,0,B2C Delfeet,Other Voluntary
Voluntary,82,fdd-competition-equipment,90,N,0,Competition,Other Voluntary
Involuntary,83,employee,90,N,0,Misc,Non Pay
Voluntary,84,Dissatisfied - Music Prgrm,90,N,0,Programming/ Music ,Other Voluntary
Voluntary,85,Competition,90,N,0,Competition,Other Voluntary
NGA,86,Replacement Ordered,90,N,0,Admin,Other Voluntary
Voluntary,87,fdd-competition-news,90,N,0,Competition,Other Voluntary
Voluntary,88,OLD OEM/New OEM Swap,90,N,0,Replaced by OEM Trial Same Svc,Other Voluntary
Voluntary,89,not authorized by account,90,N,0,Misc,Other Voluntary
Voluntary,90,music royalty fee,90,N,0,Music Royalty Fee,Other Voluntary
Voluntary,91,gift end date,90,N,0,Gift,Other Voluntary
Voluntary,92,Mail Request,90,N,0,Mail Request,Other Voluntary
Voluntary,93,season of use ended,90,N,0,Seasonal,Other Voluntary
Voluntary,94,Lost to Competitor,90,N,0,Competition,Other Voluntary
Voluntary,95,competition-music,90,N,0,Competition,Other Voluntary
Voluntary,96,Deactivate Test Recvr ,90,N,0,Admin,Other Voluntary
Voluntary,97,3rd party care problems,90,N,0,Customer Service,Other Voluntary
Involuntary,98,manufacturing test,90,N,0,Misc,Non Pay
Transfer,99,vehicle with radio sold,90,N,0,Vehicle Sold/Traded,Other Voluntary
Voluntary,100,programming lineup changes,90,N,0,Programming/ General,Other Voluntary
Voluntary,101,equipment below expectations,90,N,0,Equip/ Audio/ Recpt Dissatisfaction,Other Voluntary
Voluntary,102,competition-news,90,N,0,Competition,Other Voluntary
Voluntary,103,competition-equipment,90,N,0,Competition,Other Voluntary
Voluntary,104,Closed For Fraud,90,N,0,Closed For Fraud,Other Voluntary
