SBSCRN_ACTVTY_KEY,SBSCRN_ID,ACTVTY_TYPE_ID,USED_ACTVTY_TYPE_ID,ACTVTY_DT,ACTVTY_TS,HHLD_ID,PRTY_KEY,PRTY_ID,PARNT_ACCT_KEY,PARNT_ACCT_ID,PARNT_ACCT_NUM,CHILD_ACCT_KEY,CHILD_ACCT_ID,CHILD_ACCT_NUM,VEH_KEY,DVC_KEY,dvc_id,EQMNT_KEY,EQMNT_ID,PLAN_KEY,PLAN_ID,OFR_ID,FROM_PLAN_KEY,FROM_PLAN_ID,FROM_OFR_ID,PROD_KEY,PROD_ID,FROM_PROD_KEY,FROM_PROD_ID,PKG_ID,FROM_PKG_ID,FEAT_ID,AGN_KEY,cust_rep_id,PTNR_ID,LNKD_INET_FL,MRD_TYPE_CD,SBSCR_LIFCYC_KEY,CONV_REP_OWN_SEGMT_KEY,OWNR_TYPE2_KEY,DEACTIVATION_REASON_CODE,TRIAL_ID,SRVC_ID,RENW_ID,FROM_RENW_ID,COLL_SCNRO_ID,SRVC_LVL_PMT_KEY,NONPAY_SRVC_KEY,BILLING_METHOD,FROM_BILLING_METHOD,SLFPAY_TURNOVER_RSN,SLFPAY_TURNOVER_DT,FUTURE_DEACTVN_DT,SCHD_SEASONAL_SUSP_REACTVN_DT,Call_Reason,Call_Disposition,INSE_USER_ID,INSE_TS,UPDT_USER_ID,UPDT_TS,Save_Activity,Deact_Activity_By_Save_Agent,Conversion_Activity_By_Save_Agent,Save_Opportunity_Activity
1,419000000000.0,1,?,2019-05-13 00:00:00,5/13/19 0:00,5000000000000.0,5000000000000.0,5000000000000.0,1,61651,4.19E+11,718291866,419000000000.0,4.19E+11,36642,691047181,14804,786,-141.1,7941,1.0,2651,-2,-2,-2,11983,25368046820,-2,-2,SIR_AUD_EVT,Unknown,8,1,1659RLP,1978,Y,-1,15070366553,-2,25,217,170648023,419000000000.0,1610852888,1427342848,?,-2,-1,Credit Card,?,?,?,?,?,1,?,UP_EDWETL_TLD,2019-05-13 00:00:00,up_Edwetl_TLD,2019-05-13 00:00:00,0,0,0,0
2,435000000000.0,2,?,2018-02-19 00:00:00,2/19/18 0:00,5000000000000.0,459050309.0,5000000000000.0,2,76138,4.35E+11,514240315,435000000000.0,4.35E+11,125650,710108982,68855,2356,1430.2,8658,2.0,1598,8658,3.05E+11,1598,7146,25368043159,7146,25368043159,SIR_AUD_ALLACCESS,SIR_AUD_ALLACCESS,8,2,OEMManager,12177,Y,Single,10411691433,-1,95,0,236351127,435000000000.0,1021513916,1021513916,?,?,?,Pre Paid,Pre Paid,Not Applicable,?,?,?,2,?,UP_EDWDBA,2019-10-11 17:34:00,UP_EDWDBA,2019-10-11 17:34:00,0,0,0,0
3,418000000000.0,3,?,2015-10-18 00:00:00,10/18/15 0:00,5000000000000.0,58584690.0,5000000000000.0,3,45474,3.10E+11,116713978,310000000000.0,3.10E+11,42359,109959912,59465,3266,2340.2,3916,3.0,2137,?,?,?,10294,311000000000,?,?,SIR_AUD_ALLACCESS,?,8,3,851WME,12170,Y,Single,871800944,-2,95,?,68256851,418000000000.0,956424826,?,?,?,?,Pre Paid,?,?,?,?,?,3,?,UP_EDWDBA,2015-10-18 00:00:00,UP_EDWDBA,2015-10-18 00:00:00,0,0,0,0
4,-1.0,4,?,2019-01-15 00:00:00,1/15/19 0:00,5000000000000.0,5000000000000.0,5000000000000.0,4,19617,1-21120889592,644067827,21120889592.0,1-21120889592,30176,197185335,45147,2540,1614.2,8872,4.0,2231,-2,-2,-2,10811,311000000000,-2,-2,SIR_AUD_EVT,Unknown,8,4,2764AGB,12162,N,-1,14004315595,-2,95,217,133363294,21120892920.0,1373570301,1324880166,-1,-2,-1,Credit Card,?,?,?,?,?,4,?,UP_EDWETL_TLD,2019-01-19 00:00:00,up_Edwetl_TLD,2019-01-19 00:00:00,0,0,0,0
5,444000000000.0,5,?,2018-07-14 00:00:00,7/14/18 0:00,5000000000000.0,406757866.0,5000000000000.0,5,86587,4.44E+11,575550541,444000000000.0,4.44E+11,115750,677401091,54978,5363,4240.2,9722,5.0,1599,9722,4.31E+11,1599,11373,429000000000,11373,4.29E+11,SIR_AUD_ALLACCESS,SIR_AUD_ALLACCESS,8,5,web1,1978,Y,Single,11811771178,-1,184,0,274089848,444000000000.0,1404941574,1404941574,?,?,?,Pre Paid,Pre Paid,Not Applicable,?,?,?,5,?,UP_EDWDBA,2019-10-11 17:34:00,UP_EDWDBA,2019-10-11 17:34:00,0,0,0,0
6,113000000000.0,6,?,2015-05-24 00:00:00,5/24/15 0:00,5000000000000.0,9971854.0,5000000000000.0,6,33468,1.13E+11,77602920,113000000000.0,1.13E+11,31519,40889067,13238,786,-141.1,3442,6.0,2632,-1,-1,-1,7410,25368046914,-1,-1,SIR_AUD_EVT,?,8,6,INV Lockbox,1978,U,Single,144494111,-2,95,0,-2,113000000000.0,390146618,-2,4.14E+11,?,18927201,Invoice,Invoice,Not Applicable,?,?,?,6,?,UP_EDWDBA,2019-01-19 22:53:00,UP_EDWDBA,2019-03-25 22:10:00,0,0,0,0
7,450000000000.0,7,?,2019-03-06 00:00:00,3/6/19 0:00,5000000000000.0,672179844.0,5000000000000.0,7,77639,4.36E+11,662783912,436000000000.0,4.36E+11,67172,943154691,7932,797,-130.1,9088,7.0,2552,8859,3.10E+11,2552,7489,25368047188,12113,3.11E+11,SIR_AUD_EVT,SIR_AUD_ALLACCESS,8,7,Not Applicable,11511,N,Single,14464666491,-2,7,0,-2,450000000000.0,1618008599,1618008599,4.50E+11,?,80372768,Invoice,Invoice,Not Applicable,?,4/3/19,?,7,?,UP_EDWETL_TLD,2019-03-07 11:06:00,UP_EDWETL_TLD,2019-03-07 03:36:00,0,0,0,0
8,-1.0,8,?,2015-03-14 00:00:00,3/14/15 0:00,5000000000000.0,5000000000000.0,5000000000000.0,8,27848,1.07E+11,63867566,107000000000.0,1.07E+11,2949,27535484,6834,628,-299.1,-1,8.0,6791,-2,-2,-2,4991,9000015127,-2,-2,SIR_DATA_TRVLLNK_TRAF_SE,Unknown,2,8,505TRO,8457,U,-1,72109011,-2,7,229,114817369,112000000000.0,67250747,-2,-1,-2,-1,Credit Card,?,?,?,?,?,8,?,UP_EDWETL_TLD,2019-01-19 00:00:00,up_Edwetl_TLD,2019-01-19 00:00:00,0,0,0,0
9,425000000000.0,9,?,2018-05-05 00:00:00,5/5/18 0:00,5000000000000.0,374352097.0,5000000000000.0,9,17400,1-16045465977,538772071,6507215674.0,1-16045465977,-1,161433426,90765,1236,310.2,7813,9.0,2647,7813,25368044749,2647,12008,25368047042,12008,25368047042,SIR_AUD_EVT,SIR_AUD_EVT,8,9,961RCR,12295,N,Single,11066690766,-2,95,0,-2,425000000000.0,1354788028,1166852178,4.42E+11,?,66410632,Credit Card,Credit Card,Not Applicable,?,?,?,9,?,UP_EDWDBA,2019-01-19 22:53:00,UP_EDWDBA,2019-03-25 22:06:00,0,0,0,0
10,440000000000.0,10,?,2018-08-14 00:00:00,8/14/18 0:00,5000000000000.0,511209593.0,5000000000000.0,10,81919,4.40E+11,586061185,440000000000.0,4.40E+11,138958,823292947,29958,743,-184.1,9405,10.0,3004,9405,4.16E+11,3004,10782,416000000000,10782,4.16E+11,SIR_DATA_TRVLLNK_TRAF_SEXM,SIR_DATA_TRVLLNK_TRAF_SEXM,6,10,OEMManager,1979,Y,Single,12191638987,-1,95,0,257548852,440000000000.0,1430304910,1430304910,?,?,?,Pre Paid,Pre Paid,Not Applicable,?,?,?,10,?,UP_EDWDBA,2019-10-11 17:34:00,UP_EDWDBA,2019-10-11 17:34:00,0,0,0,0
11,-1.0,11,?,2011-07-14 00:00:00,7/14/11 0:00,5000000000000.0,30393435.0,5000000000000.0,11,5893,1-1237814046,8374270,717754194.0,1-1237814046,-1,102724678,54928,4217,3291.2,555,11.0,9203,1168,9000033085,8440,5534,9000024281,5409,9000021673,SIR_AUD_EVT,SIR_AUD_EVT,8,11,806WO,12077,U,Single,354130532,-2,95,?,65206437,717751642.0,1502764469,1502764470,?,?,?,Credit Card,Credit Card,?,?,?,?,11,?,UP_EDWDBA,2011-07-14 00:00:00,UP_EDWDBA,2011-07-14 00:00:00,0,0,0,0
