PLAN_ID,PLAN_NAME,MER,DISC,PACKAGE,LEN,ROLLUP1,ASP,STARTDATE,ENDDATE
249,Promo - All Access - 12mo - 132.00 - (+$1.00 per month),11.0,Discount,All Access,Annual,All Access Discount Annual,Y,01/11/17 00:00,12/12/99 00:00
250,Mostly Music - 1mo - Pandora,5.0,Discount,Mostly Music,Monthly,Mostly Music Discount Monthly,N,01/02/19 00:00,12/12/99 00:00
251,All Access - 1mo - wActv|Veteran 25% OffA1,15.74,Discount,All Access,Monthly,All Access Monthly - 25% Off,N,01/01/19 00:00,30/07/19 00:00
252,Fixed Demo - Select - 6mo - (Used Car),0.0,TBD,Select,Semi Annual,Select Semi,TBD,05/01/15 00:00,30/06/15 00:00
253,NavTraffic + NavWeather - 1mo - wActv,6.66,TBD,TBD,TBD,Other,TBD,05/01/15 00:00,30/06/15 00:00
254,Marine Offshore - 6mo - wActv,6.66,TBD,TBD,TBD,Other,TBD,05/01/15 00:00,30/06/15 00:00
255,Introductory - Marine Coastal - 12mo w/1mo Savings - wActv,6.66,Full Price,TBD,TBD,Other,TBD,05/01/15 00:00,30/06/15 00:00
256,Commercial Family - 1mo - (D2B) - wActv,6.66,TBD,TBD,TBD,Other,TBD,05/01/15 00:00,30/06/15 00:00
257,Introductory - All Access - 12mo w/2mo Savings - wActv,18.990000000000002,Full Price,All Access,Annual,All Access Annual,Y,05/01/15 00:00,30/06/15 00:00
258,Aviator LT - 12mo - wActv,6.66,Full Price,TBD,Annual,Other,Y,05/01/15 00:00,30/06/15 00:00
259,Voyager + Select - 24mo w/3mo Free - wActv,14.99,Full Price,Select,Two Year,Select 2 Year,Y,05/01/15 00:00,30/06/15 00:00
260,Select Family Friendly - 3mo,13.99,Full Price,Select,Quarterly,Select Quarterly,TBD,05/01/15 00:00,30/06/15 00:00
261,Introductory - Aviator - 12mo w/1mo Savings - wActv,0.0,Data,Data,Annual,Data,Y,01/04/18 00:00,12/12/99 00:00
262,Promo - Select - Semi-Annual - (25% off),11.24,Full Price,Select,Semi Annual,Select Semi,N,01/03/18 00:00,12/12/99 00:00
263,Mostly Music - 3mo,9.99,Full Price,Mostly Music,Quarterly,Mostly Music Quarterly,TBD,05/01/15 00:00,30/06/15 00:00
